pathItemKey,pathItemTagName,pathItemOpNames,pathItemIsGet,pathItemIsPut,pathItemIsPost,pathItemIsDelete,pathItemIsOptions,pathItemIsHead,pathItemIsPatch,pathItemIsTrace,pathItemOpCount,pathItemOpParamNames,pathItemOpParamCount,pathItemKeyLs,pathItemKeyL1,pathItemKeyL2,pathItemKeyL3,pathItemKeyL4,pathItemKeyL5,pathItemKeyMoreLs,pathItemKeySummary,pathItemKeyDescription,pathItemKeyServers
"""/api/admin/email/EmailType""","""Email""","""Put""",0,1,0,0,0,0,0,0,1,[],0,4,"""api""","""admin""","""email""","""EmailType""","""""",0,"""""","""""",[]
"""/api/admin/Client/Details""","""Client""","""Get""",1,0,0,0,0,0,0,0,1,"[""id"",""loadQuiz""]",2,4,"""api""","""admin""","""Client""","""Details""","""""",0,"""""","""""",[]
"""/api/admin/PreferenceCoordinatorEmail/Details""","""PreferenceCoordinatorEmail""","""Get""",1,0,0,0,0,0,0,0,1,"[""client_id"",""support_coordinator_id""]",2,4,"""api""","""admin""","""PreferenceCoordinatorEmail""","""Details""","""""",0,"""""","""""",[]
"""/api/admin/paymentsummarysplit/UpdateMyplaceType""","""PaymentSummarySplit""","""Put""",0,1,0,0,0,0,0,0,1,[],0,4,"""api""","""admin""","""paymentsummarysplit""","""UpdateMyplaceType""","""""",0,"""""","""""",[]
"""/api/admin/mpg_tags/tag_to_vendor_remove_unto""","""MPGTag""","""Put""",0,1,0,0,0,0,0,0,1,[],0,4,"""api""","""admin""","""mpg_tags""","""tag_to_vendor_remove_unto""","""""",0,"""""","""""",[]
"""/api/admin/Phone/Delete""","""PhoneContact""","""Delete""",0,0,0,1,0,0,0,0,1,"[""id""]",1,4,"""api""","""admin""","""Phone""","""Delete""","""""",0,"""""","""""",[]
"""/api/admin/supportcoordinatoruser/CheckPassword""","""SupportCoordinatorUser""","""Get""",1,0,0,0,0,0,0,0,1,"[""supportCoordinatorId"",""oldPassword""]",2,4,"""api""","""admin""","""supportcoordinatoruser""","""CheckPassword""","""""",0,"""""","""""",[]
"""/api/admin/CRMSupportCoordinatorNote/List""","""CRMSupportCoordinatorNote""","""Get""",1,0,0,0,0,0,0,0,1,"[""id"",""note_id"",""sc_id"",""islinked"",""is_link_to_client"",""client_id"",""is_link_to_invoice"",""invoice_id"",""source_id"",""source_type"",""is_deleted"",""created_time"",""created_by"",""updated_time"",""updated_by"",""Order_By"",""order_desc"",""keyword"",""is_system"",""page"",""page_size"",""current_user_id"",""list_all""]",23,4,"""api""","""admin""","""CRMSupportCoordinatorNote""","""List""","""""",0,"""""","""""",[]
"""/api/admin/CRMProviderNote/Add""","""CRMProviderNote""","""Post""",0,0,1,0,0,0,0,0,1,[],0,4,"""api""","""admin""","""CRMProviderNote""","""Add""","""""",0,"""""","""""",[]
"""/api/admin/Invoice/InvoiceItemLastUsedNDIS""","""Invoice""","""Get""",1,0,0,0,0,0,0,0,1,"[""invoice_id"",""start_date"",""end_date""]",3,4,"""api""","""admin""","""Invoice""","""InvoiceItemLastUsedNDIS""","""""",0,"""""","""""",[]
